id;region_id;name;description;contact_number;address;website_link
425;3;SDS AL AMJAD;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Siti Nurlaelah dan operator yang bernama Marwazih;(021) 7243484;Jl. Damai V No.14 1, RT.1/RW.8, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150;-
426;3;SD PLUS HANG TUAH 4;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Susilo dan operator yang bernama Chandra Setyo Adi;(021) 7255775;Jl. Laut Banda No.2 4, RT.3/RW.11, Cipulir, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230;http://sdplusht4.mysch.id/
427;3;SDS Al-Azhar 4 Kebayoran Lama;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Sutinah dan operator yang bernama Engkus Kuswandi;(021) 7254878;Jl. Ciputat Raya No.5A, RT.5/RW.1, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240;http://sd.alazhar4.sch.id/
428;3;SDIT AL FURQON;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Andriani dan operator yang bernama Fathullah;(021) 7250203;Jl. Seha II No.14 7, RT.7/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220;https://sditalfurqon-jakarta.sch.id/
429;3;SDS Smart School;Sekolah Dasar Smart School Jagakarsa didirikan pada tahun 2006 dengan komitmen yang kuat untuk menyediakan pendidikan Islam berkualitas dan berbasis karakter. Prestasi mereka terbukti dengan meraih Akreditasi A pada tahun 2011. Dalam perjalanannya, Smart School selalu mengandalkan pendanaan mandiri tanpa melibatkan tujuan komersial. Fokus kami adalah menciptakan lingkungan belajar yang nyaman di mana guru bukan hanya pengajar, tetapi juga teman belajar yang mendukung murid untuk mengembangkan kreativitas dan kemampuan berpikir mereka secara optimal. Dengan pendekatan pembelajaran yang mengintegrasikan nilai-nilai karakter dan menghubungkannya dengan kehidupan sehari-hari, murid di Smart School memiliki kesempatan lebih besar untuk memahami dan menerapkan pelajaran dalam kehidupan mereka.;(021) 78885945;Jl. Kecapi No.49 1, RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620;https://smart.sch.id/
430;3;SDIT ASHABUL KAHFI;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Maryam dan operator yang bernama Ridho Nur Muhamad Soleh;(021) 78887438;Jl. Moch. Kahfi II No.6, RT.1/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630;-
431;3;SDI TELADAN AL-ITTIHAD;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Ahmad Mursidi dan operator yang bernama suranto;(021) 70725815;Jl. Kemandoran I No.80 1, RT.1/RW.4, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210;-
432;3;SD ISLAM DARUL MAARIF;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Salsabilah;(021) 7694127;Jl. RS. Fatmawati Raya No.45 2, RT.6/RW.5, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410;-
433;3;SD ISLAM HARAPAN IBU;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Dian Fitriani dan operator yang bernama ROSTIYATI;(021) 75911228;Jl. H. Banan No.1 8, RT.8/RW.12, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310;https://harapanibu.sch.id/sd-islam-harapan-ibu/
434;3;SDS Bakti Ibu;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Rodani dan operator yang bernama Muhammad Utsman Amrul Hamzah;(021) 7203665;Jl. Suryo No.35 Blok s, RT.6/RW.6, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180;-
