id;region_id;name;description;contact_number;address;website_link
842;5;SDS Kristen I BPK Penabur;"Pada awalnya, SDK 1 PENABUR berdiri dengan nama “ Vereniging Van Chineze”. Kemudian pada tahun 1929 (masa penjajahan Hindia Belanda) berganti nama menjadi “School Met den Bijibel”.  H.C.S (Hollands Chineze School) dan H.C.Z.S (Holland Chineze Zendings School).

Pada masa pemerintahan Republik Indonesia, sekolah ini berganti nama menjadi Sekolah Dasar Kristen 1. Dibawah pengawasan Yayasan BPK Tiong Hoa Kie Tok Kauw Hwee, yang diketuai oleh Ong Teng Houw, sekretaris Lien Boen Liong dan anggota Lie Bo Tay. Sejak April 2008 SDK 1 PENABUR telah berubah dari bangunan lama menjadi bangunan baru terdiri dari 14 ruang kelas.Dan pada tahun 2019 menjadi 18 kelas, juga terdapat ruang laboratorium komputer, laboratorium IPA, ruang Bimbingan Konseling (BK), perpustakaan, aula, lapangan olahraga dan Unit Kesehatan Gigi Sekolah (UKGS).";(021) 34834420;Jl. KH. Samanhudi No. 29 Jakarta Pusat;https://bpkpenabur.or.id/jakarta/sdk-1-penabur
843;5;SDS Mahatma Gandhi (Ps. Baru);Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Janny Sujatno dan operator yang bernama Ivonne Yoko Rarobong;(021) 3456215;Jl. Pasar Baru Selatan No.10 1, RT.1/RW.4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710;http://www.mgsjkt.sch.id/
844;5;SDS Hati Suci;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Pando Wijoyo Situmorang dan operator yang bernama Margaretha Dwi R;0878-8604-5069;Jl. Hati Suci No.2, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250;https://hatisucischool.sch.id/
845;5;SDS Santo Fransiskus I;Sekolah ini memiliki kepala sekolah yang bernama Aris Wahyu Hidayat dan operator yang bernama Maria Elisabeth Wolobaru;(021) 3909254;Jl. Kramat Raya No.67 1, RT.1/RW.8, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450;http://yayasan-fransiskus.org/
846;5;SDS Perg. Advent Salemba;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Yuliana Ndraha dan operator yang bernama Rifcaide Manik;(021) 3150116;Jl. Salemba Raya No.47, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440;-
847;5;SD KRISTEN SAINT JOHN;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Sondang Lamtiur Sormin dan operator yang bernama DESI SUSILAWATI;(021) 4213645;Jl. Bungur Besar Raya No.82a - 84, RT.1/RW.7, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610;http://sekolahsaintjohn.sch.id/
848;5;SDS Santo Yoseph;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Suster Theresia Ratna Dewi, Pi dan operator yang bernama Natalia Fevriyani;(021) 6391990;Jl. Dwiwarna Raya No.1-3, RT.2/RW.1, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750;https://santoyosephdwiwarna.sch.id/#
849;5;SDS Kwitang II PSKD;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama NOFERIUS WARUWU dan operator yang bernama Ade Samsudin;(021) 3906824;Jl. Kramat IV No.29, RT.5/RW.8, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430;-
850;5;SDS Muhammadiyah II;Sekolah ini memakai kurikulum 2013. Sekolah ini memiliki kepala sekolah yang bernama Subagyo dan operator yang bernama Muhyiddin Safa;(021) 3909948;Jl. Kramat Raya No.49 3, RT.3/RW.4, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450;-
;;;;;;
